  COD;Artista;Título;OBS:;Gravadora;Formato;Condição;Valor Venda;gênero;ano;texto;tracklist;Imagens
60;Orlandivo;Orlandivo;;Som/ Kindred Spirits;LP;MINT;90;Brazuca;1976;"Groovy!! Melhor disco de Orlandivo lançado pelo selo holandes Kindred Spirits! Arranjos de João Donato, que também assina as teclas do disco, junto com uma banda maravilhosa! Ouça ""Onde anda o meu amor"" e ""Tamanco no samba"", genial!";"A1 Tudo Jóia
A2 Um abraço no Bengil
A3 Gueri-Gueri
A4 Tamanco no samba
A5 Juazeiro
B1 Onde anda o meu amor
B2 Disse me disse
B3 Palladium
B4 Bolinha de sabão";60.jpg
61;Paulinho Nogueira;10 milhões de neurônios;;Continental;LP;VG/VG;50;Brasil;1972;Grande disco de Paulinho Nogueira, professor de violão de grandes instrumentistas brasileiros, como Toquinho. Aqui ele mostra todo seu talento, em músicas como a faixa título.;"A1 Dez bilhões de neurônios
A2 O velho guru
A3 Pretérito perfeito
A4 Nem de dia, nem de noite
A5 Menina
B1 Tímido
B2 Odeon
B3 Pra você que vai chegar
B4 Um simples chorinho
B5 Um, dois, três
B6 Chôro n 1 (Chôro típico)";61.jpg
62;Paulo Bagunça e a Tropa Maldita;Paulo Bagunça e a Tropa Maldita;;Continental/ Somatória do barulho;LP;MINT;80;Brazuca;1973;"O preço desse disco já alcança os 4 dígitos! Feliz relançamento desse ótimo LP, arranjado pelo grande Laércio de Freitas! Faixas como ""Grinfa louca"" e ""Olhos Coloridos"" marecem a atenção!";"A1 Apêlo
A2 Grinfa louca
A3 Olhos coloridos
A4 Microfones metálicos
A5 Tramba
B1 A mente
B2 Olhar animal
B3 Madalena
B4 Mensageiro
B5 Cristina";62.jpg
63;Renato e seus blue caps;Renato e seus blue caps;;CBS;LP;VG/VG;40;Brazuca;1971;"Disco de 1971 dos Blue Caps, contém a faixa ""46-77-23"".";"A1 46-77-23
A2 Esta noite não sonhei com você
A3 Sheila
A4 Sou louco por você
A5 Você vai me ouvir
A6 Tania
B1 Não é nada disso
B2 Nós dois
B3 Agora é tarde
B4 O brinquedo se quebrou
B5 Sou amor pra te entregar
B6 Ainda é hora de chorar";63.jpg
64;O quarteto;O quarteto;;Philips;LP;VG/VG;70;Brasil;1968;"Disco de 68, bem legal! Ouça ""Os grilos"", versão do som dos irmãos Valle.";"A1 Os grilos
A2 Live for life
A3 O velho
A4 Bonita
A5 Rua antiga
A6 Who needs forever
B1 Waves
B2 Maria madrugada
B3 Canta
B4 Here, there and everywhere
B5 Isso não se faz
B6 Tenderly";64.jpg
65;Rita Lee;Babilonia;;Som livre;LP;VG+/VG;50;Brazuca;1978;"Tia Rita goes disco! Check ""Miss Brasil 2000"" e o hit ""Agora é moda""! ";"A1 Miss Brasil 2000
A2 Disco Voador
A3 Agora é moda
A4 Jardins da Babilônia
B1 O futuro me absolve
B2 Sem Cerimônia
B3 Que loucura
B4 Eu e o meu gato
B5 Modinha";65.jpg
66;Roberto Leal;Roberto Leal;;RGE;LP;VG/VG;45;Brazuca;1974;"Roberto Leal psicodélico! Check ""Minha cruz""";"A1 Lisboa antiga
A2 Vem amar
A3 Mocinhas da cidade
A4 Uma tarde no circo
A5 Grandola, vila morena
B1 Verde gaio
B2 Momento do amor
B3 Meus amores
B4 Minha cruz
B5 Menina faceira
B6 Era o fado meu amigo";66.jpg
67;Rock Grain;Explosão da juventude;;Square;LP;VG+/VG+;300;Brazuca;1972;Mosca branca!! Originalmente chamado O Grão, teve seu nome traduzido na onda dos anos 70. É a primeira banda de Robson Jorge e Paulinho Guitarra!! Rock bem feito, Yázigi incompleto!;"A1 Hours again
A2 Rock power
A3 Diary
A4 I don't like
A5 Baby I'm a want you
A6 Money is/ Niji trance
B1 Out a space
B2 Are we loosing touch
B3 Alone again (naturally)
B4 I want to love
B5 Never can say goodbye
B6 Rock roll stew";67.jpg
58;Ronnie Von;A misteriosa luta do Reino de Parassempre contra o Império de Nuncamais;;Polydor/ Polysom;LP;MINT;80;Brazuca;1969;"Maravilhoso disco do Sr. Von Schilgen, um dos grandes tropicalistas! Aqui ele mostra porque ele foi o cara que escolheu o nome dos Mutantes! Ouça ""Regina e o mar"" e sua versão pra ""Dindi""!";"A1 De como meu herói Flash Gordon irá levar-me a alfa do centauro, meu verdadeiro lar
A2 Dindi
A3 Pare de sonhar com estrelas distantes
A4 Onde foi
A5 My cherie amour
A6 Atlantida
B1 Por quem sonha Ana Maria
B2 Mares de areia
B3 Regina e o mar
B4 Foi bom
B5 Rose Ann
B6 Comecei uma brincadeira";68.jpg
69;Sandália de Prata;Desfaio ao Galo;;independente;LP;MINT;;Brazuca;201?;"Terceiro LP do grupo de samba rock paulistano, o último com Paulinho Sorriso na bateria. Algumas músicas aqui nasceram clássicos, como  ""Tapa do Siri"" e ""Rolê na paulicéia"". Ainda tem a diva Elza Soares emprestando a voz pra afilhada Ully Costa em ""Quem sabe, sabe"". Discão!";"A1 Menino rei
A2 Som de drão
A3 Rolê na paulicéia
A4 João
A5 O cravo brigou com a rosa
A6 Vou deixar rolar
B1 Tapa do siri
B2 Fez por merecer
B3 Quem sabe, sabe
B4 Sensual funk
B5 Reza forte (instrumental)";69.jpg
